opened_at,signal,prob,entry,tp,sl,rr,est_minutes,order_type,closed_at,outcome,pnl_pct,hit_tp,hit_sl
2026-05-13T15:40:00.634310+00:00,CASCADE_SHORT,0.7262,79224.3,78590.51,79620.42,1.6,1.0,market,2026-05-13T15:43:00.634310+00:00,EXPIRED,-0.003,0,0
2026-05-13T16:54:00.652540+00:00,CASCADE_SHORT,0.7956,79090.2,78457.48,79485.65,1.6,1.0,market,2026-05-13T16:57:00.652540+00:00,EXPIRED,0.023,0,0
2026-05-13T17:26:00.643943+00:00,CASCADE_SHORT,0.7469,79255.2,78621.16,79651.48,1.6,1.0,market,2026-05-13T17:29:00.643943+00:00,EXPIRED,-0.033,0,0
2026-05-13T17:39:00.546411+00:00,CASCADE_SHORT,0.7403,79311.7,78677.21,79708.26,1.6,1.0,market,2026-05-13T17:42:00.546411+00:00,EXPIRED,-0.009,0,0
2026-05-13T21:09:00.605240+00:00,CASCADE_SHORT,0.7155,79493.9,78857.95,79891.37,1.6,1.0,market,2026-05-13T21:12:00.605240+00:00,EXPIRED,0.27,0,0
2026-05-14T13:37:00.548833+00:00,CASCADE_SHORT,0.6542,79700.1,79062.5,80098.6,1.6,1.0,market,2026-05-14T13:40:00.548833+00:00,EXPIRED,-0.113,0,0
2026-05-14T14:01:00.593539+00:00,CASCADE_SHORT,0.7883,79660.9,79023.61,80059.2,1.6,1.0,market,2026-05-14T14:04:00.593539+00:00,EXPIRED,-0.074,0,0
2026-05-14T14:08:00.543468+00:00,CASCADE_SHORT,0.7304,79567.2,78930.66,79965.04,1.6,1.0,market,2026-05-14T14:11:00.543468+00:00,EXPIRED,-0.198,0,0
2026-05-14T19:26:00.575836+00:00,CASCADE_SHORT,0.6469,81402.6,80751.38,81809.61,1.6,1.0,market,2026-05-14T19:29:00.575836+00:00,EXPIRED,0.123,0,0
2026-05-15T02:19:00.629308+00:00,CASCADE_SHORT,0.6188,80866.1,80219.17,81270.43,1.6,1.0,market,2026-05-15T02:22:00.629308+00:00,EXPIRED,-0.007,0,0
2026-05-15T10:37:56.236262+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T10:40:56.236262+00:00,WIN,0.4,1,0
2026-05-15T10:48:16.451958+00:00,CASCADE_LONG,0.6002,80639.8,80962.36,80317.24,1.0,2.0,market,2026-05-15T10:51:16.451958+00:00,EXPIRED,-0.033,0,0
2026-05-15T10:52:12.171451+00:00,CASCADE_LONG,0.726,80719.2,81042.08,80396.32,1.0,1.0,market,2026-05-15T10:55:12.171451+00:00,EXPIRED,-0.02,0,0
2026-05-15T11:05:12.079352+00:00,CASCADE_SHORT,0.6623,80585.1,80262.76,80907.44,1.0,1.0,market,2026-05-15T11:08:12.079352+00:00,EXPIRED,0.016,0,0
2026-05-15T11:37:58.876898+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T11:40:58.876898+00:00,WIN,0.4,1,0
2026-05-15T11:42:57.835167+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T11:45:57.835167+00:00,WIN,0.4,1,0
2026-05-15T12:03:57.236070+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T12:06:57.236070+00:00,WIN,0.4,1,0
2026-05-15T12:07:00.327506+00:00,CASCADE_SHORT,0.6225,80425.6,80103.9,80747.3,1.0,1.0,market,2026-05-15T12:10:00.327506+00:00,EXPIRED,0.046,0,0
2026-05-15T12:48:59.295745+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T12:51:59.295745+00:00,WIN,0.4,1,0
2026-05-15T14:28:01.902212+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T14:31:01.902212+00:00,LOSS,-0.4,0,1
2026-05-15T14:37:59.523572+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T14:40:59.523572+00:00,EXPIRED,-0.338,0,0
2026-05-15T15:03:15.063751+00:00,CASCADE_SHORT,0.6437,79068.6,78752.33,79384.87,1.0,1.0,market,2026-05-15T15:06:15.063751+00:00,EXPIRED,-0.059,0,0
2026-05-15T15:22:17.779093+00:00,CASCADE_LONG,0.6498,79316.7,79633.97,78999.43,1.0,1.0,market,2026-05-15T15:25:17.779093+00:00,EXPIRED,-0.2,0,0
2026-05-15T15:45:02.641205+00:00,CASCADE_LONG,0.7332,79350.0,79667.4,79032.6,1.0,1.0,market,2026-05-15T15:48:02.641205+00:00,LOSS,-0.4,0,1
2026-05-15T15:53:02.688519+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T15:56:02.688519+00:00,EXPIRED,-0.276,0,0
2026-05-15T16:54:01.432641+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T16:57:01.432641+00:00,EXPIRED,-0.188,0,0
2026-05-15T17:10:02.435944+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T17:13:02.435944+00:00,EXPIRED,-0.16,0,0
2026-05-15T18:19:03.537651+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T18:22:03.537651+00:00,EXPIRED,-0.161,0,0
2026-05-15T19:37:02.330935+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T19:40:02.330935+00:00,EXPIRED,-0.322,0,0
2026-05-15T19:53:01.036752+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T19:56:01.036752+00:00,LOSS,-0.4,0,1
2026-05-15T20:06:11.211671+00:00,CASCADE_SHORT,0.7597,79059.5,78743.26,79375.74,1.0,1.0,market,2026-05-15T20:09:11.211671+00:00,EXPIRED,-0.047,0,0
2026-05-15T20:52:02.426313+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T20:55:02.426313+00:00,LOSS,-0.4,0,1
2026-05-15T22:04:00.203642+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T22:07:00.203642+00:00,LOSS,-0.4,0,1
2026-05-15T22:18:03.820809+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T22:21:03.820809+00:00,LOSS,-0.4,0,1
2026-05-15T22:31:03.750441+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-15T22:34:03.750441+00:00,LOSS,-0.4,0,1
2026-05-16T03:05:06.523268+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T03:08:06.523268+00:00,EXPIRED,-0.343,0,0
2026-05-16T03:59:03.466813+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T04:02:03.466813+00:00,LOSS,-0.4,0,1
2026-05-16T05:05:06.144603+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T05:08:06.144603+00:00,LOSS,-0.4,0,1
2026-05-16T05:39:05.718087+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T05:42:05.718087+00:00,LOSS,-0.4,0,1
2026-05-16T05:57:04.474899+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T06:00:04.474899+00:00,LOSS,-0.4,0,1
2026-05-16T06:13:06.319146+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T06:16:06.319146+00:00,LOSS,-0.4,0,1
2026-05-16T06:40:11.588467+00:00,CASCADE_SHORT,0.6251,78773.4,78458.31,79088.49,1.0,1.0,market,2026-05-16T06:43:11.588467+00:00,EXPIRED,0.098,0,0
2026-05-16T07:21:11.624366+00:00,CASCADE_LONG,0.7332,79350.0,79667.4,79032.6,1.0,1.0,market,2026-05-16T07:24:11.624366+00:00,LOSS,-0.4,0,1
2026-05-16T08:15:09.571147+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T08:18:09.571147+00:00,LOSS,-0.4,0,1
2026-05-16T08:33:09.822592+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T08:36:09.822592+00:00,LOSS,-0.4,0,1
2026-05-16T09:50:17.451953+00:00,CASCADE_SHORT,0.6345,78019.9,77707.82,78331.98,1.0,1.0,market,2026-05-16T09:53:17.451953+00:00,EXPIRED,-0.072,0,0
2026-05-16T11:45:13.133710+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T11:48:13.133710+00:00,LOSS,-0.4,0,1
2026-05-16T14:34:14.961713+00:00,CASCADE_LONG,0.6313,78060.0,78372.24,77747.76,1.0,1.0,market,2026-05-16T14:37:14.961713+00:00,EXPIRED,-0.009,0,0
2026-05-16T14:46:13.421474+00:00,CASCADE_LONG,0.6364,78235.3,78548.24,77922.36,1.0,1.0,market,2026-05-16T14:49:13.421474+00:00,EXPIRED,-0.106,0,0
2026-05-16T15:09:13.717952+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T15:12:13.717952+00:00,LOSS,-0.4,0,1
2026-05-16T16:25:16.661618+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T16:28:16.661618+00:00,LOSS,-0.4,0,1
2026-05-16T20:15:19.623927+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T20:18:19.623927+00:00,LOSS,-0.4,0,1
2026-05-16T20:37:18.511126+00:00,CASCADE_LONG,0.8994,81585.5,81911.84,81259.16,1.0,1.0,market,2026-05-16T20:40:18.511126+00:00,LOSS,-0.4,0,1
2026-05-16T21:05:19.408662+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T21:08:19.408662+00:00,LOSS,-0.4,0,1
2026-05-16T22:41:17.002176+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T22:44:17.002176+00:00,LOSS,-0.4,0,1
2026-05-16T23:19:18.526113+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-16T23:22:18.526113+00:00,LOSS,-0.4,0,1
2026-05-17T00:45:19.737608+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T00:48:19.737608+00:00,LOSS,-0.4,0,1
2026-05-17T01:01:24.355574+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T01:04:24.355574+00:00,LOSS,-0.4,0,1
2026-05-17T01:07:18.084048+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T01:10:18.084048+00:00,LOSS,-0.4,0,1
2026-05-17T01:32:17.591972+00:00,CASCADE_SHORT,0.6288,77922.1,77610.41,78233.79,1.0,1.0,market,2026-05-17T01:35:17.591972+00:00,EXPIRED,0.009,0,0
2026-05-17T04:27:20.829756+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T04:30:20.829756+00:00,LOSS,-0.4,0,1
2026-05-17T04:38:11.422704+00:00,CASCADE_LONG,0.6009,78119.3,78431.78,77806.82,1.0,1.0,market,2026-05-17T04:41:11.422704+00:00,EXPIRED,0.005,0,0
2026-05-17T05:06:12.703008+00:00,CASCADE_LONG,0.6317,78182.9,78495.63,77870.17,1.0,1.0,market,2026-05-17T05:09:12.703008+00:00,EXPIRED,0.097,0,0
2026-05-17T06:09:20.970206+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T06:12:20.970206+00:00,LOSS,-0.4,0,1
2026-05-17T06:15:24.365324+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T06:18:24.365324+00:00,LOSS,-0.4,0,1
2026-05-17T07:49:23.446295+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T07:52:23.446295+00:00,LOSS,-0.4,0,1
2026-05-17T08:13:25.026434+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T08:16:25.026434+00:00,LOSS,-0.4,0,1
2026-05-17T09:47:20.558833+00:00,CASCADE_LONG,0.7332,79350.0,79667.4,79032.6,1.0,1.0,market,2026-05-17T09:50:20.558833+00:00,LOSS,-0.4,0,1
2026-05-17T10:08:18.141583+00:00,CASCADE_LONG,0.6348,78317.1,78630.37,78003.83,1.0,1.0,market,2026-05-17T10:11:18.141583+00:00,EXPIRED,0.016,0,0
2026-05-17T10:15:25.618059+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T10:18:25.618059+00:00,LOSS,-0.4,0,1
2026-05-17T10:33:23.776811+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T10:36:23.776811+00:00,LOSS,-0.4,0,1
2026-05-17T11:02:21.057950+00:00,CASCADE_SHORT,0.634,78341.0,78027.64,78654.36,1.0,1.0,market,2026-05-17T11:05:21.057950+00:00,EXPIRED,-0.044,0,0
2026-05-17T15:55:27.351824+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T15:58:27.351824+00:00,LOSS,-0.4,0,1
2026-05-17T16:03:28.234814+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T16:06:28.234814+00:00,LOSS,-0.4,0,1
2026-05-17T17:23:28.653955+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T17:26:28.653955+00:00,LOSS,-0.4,0,1
2026-05-17T18:07:27.746791+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T18:10:27.746791+00:00,LOSS,-0.4,0,1
2026-05-17T20:13:33.240377+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T20:16:33.240377+00:00,LOSS,-0.4,0,1
2026-05-17T20:21:36.186770+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T20:24:36.186770+00:00,LOSS,-0.4,0,1
2026-05-17T20:41:34.834012+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T20:44:34.834012+00:00,LOSS,-0.4,0,1
2026-05-17T22:52:11.758386+00:00,CASCADE_SHORT,0.6712,77865.4,77553.94,78176.86,1.0,1.0,market,2026-05-17T22:55:11.758386+00:00,EXPIRED,0.033,0,0
2026-05-17T23:07:33.118578+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T23:10:33.118578+00:00,LOSS,-0.4,0,1
2026-05-17T23:27:31.131607+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T23:30:31.131607+00:00,LOSS,-0.4,0,1
2026-05-17T23:37:30.961925+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-17T23:40:30.961925+00:00,LOSS,-0.4,0,1
2026-05-18T00:31:33.620136+00:00,CASCADE_LONG,0.9168,81850.0,82177.4,81522.6,1.0,1.0,market,2026-05-18T00:34:33.620136+00:00,LOSS,-0.4,0,1
2026-05-18T00:39:34.829624+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T00:42:34.829624+00:00,LOSS,-0.4,0,1
2026-05-18T01:46:14.166322+00:00,CASCADE_SHORT,0.6289,76700.1,76393.3,77006.9,1.0,2.0,market,2026-05-18T01:49:14.166322+00:00,EXPIRED,-0.246,0,0
2026-05-18T02:03:32.518331+00:00,CASCADE_LONG,0.7332,79350.0,79667.4,79032.6,1.0,1.0,market,2026-05-18T02:06:32.518331+00:00,LOSS,-0.4,0,1
2026-05-18T02:51:37.039608+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T02:54:37.039608+00:00,LOSS,-0.4,0,1
2026-05-18T03:08:23.628093+00:00,CASCADE_LONG,0.7088,76976.7,77284.61,76668.79,1.0,1.0,market,2026-05-18T03:11:23.628093+00:00,EXPIRED,-0.035,0,0
2026-05-18T04:15:38.876225+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T04:18:38.876225+00:00,LOSS,-0.4,0,1
2026-05-18T04:52:14.040499+00:00,CASCADE_LONG,0.6015,76933.1,77240.83,76625.37,1.0,1.0,market,2026-05-18T04:55:14.040499+00:00,EXPIRED,0.038,0,0
2026-05-18T05:03:38.895583+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T05:06:38.895583+00:00,LOSS,-0.4,0,1
2026-05-18T05:16:19.421666+00:00,CASCADE_SHORT,0.6345,76930.0,76622.28,77237.72,1.0,1.0,market,2026-05-18T05:19:19.421666+00:00,EXPIRED,-0.006,0,0
2026-05-18T06:06:18.742991+00:00,CASCADE_SHORT,0.6891,76785.0,76477.86,77092.14,1.0,1.0,market,2026-05-18T06:09:18.742991+00:00,EXPIRED,0.129,0,0
2026-05-18T06:16:20.546163+00:00,CASCADE_LONG,0.6117,76921.7,77229.39,76614.01,1.0,2.0,market,2026-05-18T06:19:20.546163+00:00,EXPIRED,-0.192,0,0
2026-05-18T06:19:25.373612+00:00,CASCADE_SHORT,0.6343,76810.6,76503.36,77117.84,1.0,1.0,market,2026-05-18T06:22:25.373612+00:00,EXPIRED,0.073,0,0
2026-05-18T07:16:22.119281+00:00,CASCADE_SHORT,0.6126,76880.1,76572.58,77187.62,1.0,1.0,market,2026-05-18T07:19:22.119281+00:00,EXPIRED,0.079,0,0
2026-05-18T08:17:50.918936+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T08:20:50.918936+00:00,LOSS,-0.4,0,1
2026-05-18T10:22:14.986740+00:00,CASCADE_SHORT,0.624,76688.0,76381.25,76994.75,1.0,1.0,market,2026-05-18T10:25:14.986740+00:00,EXPIRED,-0.047,0,0
2026-05-18T11:10:19.324831+00:00,CASCADE_SHORT,0.6051,76652.5,76345.89,76959.11,1.0,1.0,market,2026-05-18T11:13:19.324831+00:00,EXPIRED,-0.091,0,0
2026-05-18T11:15:42.918657+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T11:18:42.918657+00:00,LOSS,-0.4,0,1
2026-05-18T11:27:41.195107+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T11:30:41.195107+00:00,LOSS,-0.4,0,1
2026-05-18T12:08:19.609271+00:00,CASCADE_LONG,0.7119,77442.9,77752.67,77133.13,1.0,1.0,market,2026-05-18T12:11:19.609271+00:00,EXPIRED,-0.049,0,0
2026-05-18T12:14:47.157750+00:00,CASCADE_LONG,0.8188,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T12:17:47.157750+00:00,LOSS,-0.4,0,1
2026-05-18T12:24:16.927831+00:00,CASCADE_LONG,0.6458,77470.7,77780.58,77160.82,1.0,1.0,market,2026-05-18T12:27:16.927831+00:00,EXPIRED,-0.296,0,0
2026-05-18T12:36:38.172573+00:00,CASCADE_LONG,0.7733,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T12:39:38.172573+00:00,LOSS,-0.4,0,1
2026-05-18T13:04:11.267849+00:00,CASCADE_SHORT,0.815,80900.0,80576.4,81223.6,1.0,1.0,market,2026-05-18T13:07:11.267849+00:00,WIN,0.4,1,0
2026-05-18T13:10:18.332581+00:00,CASCADE_LONG,0.7837,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T13:13:18.332581+00:00,LOSS,-0.4,0,1
2026-05-18T13:38:26.236006+00:00,CASCADE_SHORT,0.6764,76739.5,76432.54,77046.46,1.0,1.0,market,2026-05-18T13:41:26.236006+00:00,EXPIRED,-0.183,0,0
2026-05-18T14:01:07.169847+00:00,CASCADE_LONG,0.7798,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T14:04:07.169847+00:00,LOSS,-0.4,0,1
2026-05-18T14:05:19.962229+00:00,CASCADE_LONG,0.7091,76914.2,77221.86,76606.54,1.0,1.0,market,2026-05-18T14:08:19.962229+00:00,EXPIRED,-0.264,0,0
2026-05-18T14:14:38.817125+00:00,CASCADE_LONG,0.7798,79394.4,79711.98,79076.82,1.0,1.0,market,2026-05-18T14:17:38.817125+00:00,LOSS,-0.4,0,1
2026-05-18T14:33:20.294094+00:00,CASCADE_SHORT,0.6206,76449.9,76335.23,76564.57,1.0,1.0,market,2026-05-18T14:36:20.294094+00:00,WIN,0.15,1,0
2026-05-18T17:17:40.435781+00:00,CASCADE_SHORT,0.7701,79674.7,79579.09,79770.31,1.0,1.0,market,2026-05-18T17:20:40.435781+00:00,WIN,0.12,1,0
2026-05-18T19:11:40.674412+00:00,CASCADE_LONG,0.7892,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-18T19:14:40.674412+00:00,LOSS,-0.12,0,1
2026-05-19T00:43:42.862764+00:00,CASCADE_LONG,0.7892,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T00:46:42.862764+00:00,LOSS,-0.12,0,1
2026-05-19T07:11:05.048535+00:00,CASCADE_LONG,0.8467,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T07:14:05.048535+00:00,LOSS,-0.12,0,1
2026-05-19T08:25:54.062920+00:00,CASCADE_LONG,0.8467,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T08:28:54.062920+00:00,LOSS,-0.12,0,1
2026-05-19T14:01:55.069914+00:00,CASCADE_LONG,0.8467,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T14:04:55.069914+00:00,LOSS,-0.12,0,1
2026-05-19T14:21:54.339369+00:00,CASCADE_LONG,0.8467,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T14:24:54.339369+00:00,LOSS,-0.12,0,1
2026-05-19T17:51:59.441658+00:00,CASCADE_LONG,0.8467,79394.4,79489.67,79299.13,1.0,1.0,market,2026-05-19T17:54:59.441658+00:00,LOSS,-0.12,0,1
2026-05-21T05:35:22.860439+00:00,CASCADE_SHORT,0.6616,77860.59,77767.16,77954.02,1.0,1.0,maker,2026-05-21T05:38:22.860439+00:00,EXPIRED,0.012,0,0
2026-05-21T06:30:56.356559+00:00,CASCADE_SHORT,0.6616,77860.59,77767.16,77954.02,1.0,1.0,maker,2026-05-21T06:31:26.356559+00:00,UNFILLED,0.0,0,0
2026-05-21T23:31:01.144373+00:00,CASCADE_SHORT,0.6616,77860.59,77767.16,77954.02,1.0,1.0,maker,2026-05-21T23:31:31.144373+00:00,UNFILLED,0.0,0,0
2026-05-22T18:46:17.644051+00:00,CASCADE_SHORT,0.8562,76077.2,75985.91,76168.49,1.0,1.0,maker,2026-05-22T18:49:17.644051+00:00,LOSS,-0.12,0,1
2026-05-22T19:31:24.271835+00:00,CASCADE_SHORT,0.7805,75710.49,75619.64,75801.34,1.0,1.0,maker,2026-05-22T19:34:24.271835+00:00,LOSS,-0.12,0,1
2026-05-23T07:51:21.062768+00:00,CASCADE_SHORT,0.7162,74276.31,74187.18,74365.44,1.0,1.0,maker,2026-05-23T07:54:21.062768+00:00,LOSS,-0.12,0,1
